subject,body,label
Shipping Update for Order #750600,"Hello, Our August newsletter is here! Join us for appointment. Visit platform.com/setup for details. Unsubscribe at company.com/unsubscribe. Regards, Onboarding Team",0
Update Your payment details Immediately,"Hello, Your subscription account requires payment update. Click [scam-site.net] to secure. Contact support@fakebank.com if you need assistance. Thank you, Security Team",1
Verify Your bank Account,"Hello, Your invoice #9915 is overdue. Pay now at [scam-site.net] to avoid account suspension. Contact support@fakebank.com for help. Thanks, Security Team",1
Thank You for Your feedback,"Hello, We’ve released updated dashboard for your account. Learn more at store.com/tracking. Let us know your feedback at events@company.com. Thanks, Customer Care",0
Claim Your free trial Today,"Hello, Your invoice #9915 is overdue. Pay now at [suspicious-link.com] to avoid additional fees. Contact support@fakebank.com for help. Thanks, Rewards Team",1
Product Update: updated dashboard,"Hi, Welcome to Community! Get started at platform.com/setup. Reach out to support@store.com with questions. Thanks, Onboarding Team",0
Your bank Account Needs Attention,"Dear User, Your account information needs updating due to suspicious activity. Visit [suspicious-link.com] to avoid account deletion. Regards, Account Services",1
Thank You for Your registration,"Hello, Our August newsletter is here! Join us for appointment. Visit company.com/events for details. Unsubscribe at company.com/unsubscribe. Regards, Store Team",0
Your webinar Confirmation,"Hi, Welcome to Community! Get started at platform.com/setup. Reach out to help@platform.com with questions. Thanks, Customer Care",0
Your webinar Confirmation,"Hello, We’ve released updated dashboard for your account. Learn more at platform.com/setup. Let us know your feedback at help@platform.com. Thanks, Community Team",0
Verify Your subscription Account,"Dear User, Your payment details needs updating due to suspicious activity. Visit [malicious-link.org] to avoid additional fees. Regards, Billing Department",1
Invoice # 8718 Overdue,"Dear User, Your password needs updating due to unusual sign-in. Visit [fake-portal.com] to avoid account suspension. Regards, Security Team",1
Thank You for Your purchase,"Hello, Our June newsletter is here! Join us for annual event. Visit platform.com/setup for details. Unsubscribe at company.com/unsubscribe. Regards, Onboarding Team",0
Claim Your $1000 gift card Today,"Hi, You’ve won $1000 gift card! Click [scam-site.net] to claim it now. Hurry, offer expires 24 hours! Best, Account Services",1
Shipping Update for Order #750600,"Dear Customer, Thank you for your order #897911. Your package will arrive by June 5, 2025. Track your order at company.com/events. Contact help@platform.com for assistance. Best, Customer Care",0
Your Community Renewal,"Hello, We’ve released improved security for your account. Learn more at platform.com/setup. Let us know your feedback at support@store.com. Thanks, Customer Care",0
Password Changed Successfully,"Hello, Our July newsletter is here! Join us for annual event. Visit store.com/tracking for details. Unsubscribe at company.com/unsubscribe. Regards, Onboarding Team",0
Product Update: updated dashboard,"Dear Customer, Your annual event is scheduled for June 7, 2025. View details at store.com/tracking. Contact events@company.com to reschedule. Best, Customer Care",0
Thank You for Your purchase,"Dear John, Thank you for your order #750600. Your package will arrive by June 5, 2025. Track your order at store.com/tracking. Contact events@company.com for assistance. Best, Store Team",0
Update Your account information Immediately,"Hello, Your email account requires password reset. Click [fake-portal.com] to reset. Contact billing@scamsite.com if you need assistance. Thank you, Security Team",1
Welcome to App!,"Dear Customer, Thank you for your order #859402. Your package will arrive by June 5, 2025. Track your order at platform.com/setup. Contact support@store.com for assistance. Best, Onboarding Team",0
Update Your payment details Immediately,"Dear Customer, We detected unusual sign-in on your account. Please reset at [scam-site.net] to secure your account. Failure to act within 48 hours may result in account suspension. Regards, Billing Department",1
Invoice # 3272 Overdue,"Dear User, Your account information needs updating due to unauthorized access. Visit [scam-site.net] to avoid additional fees. Regards, Account Services",1
Update Your account information Immediately,"Hello, Your invoice #4528 is overdue. Pay now at [fake-portal.com] to avoid account deletion. Contact support@fakebank.com for help. Thanks, Account Services",1
Urgent: reset Your Account Now,"Hi, You’ve won premium membership! Click [scam-site.net] to claim it now. Hurry, offer expires 48 hours! Best, Rewards Team",1
Password Changed Successfully,"Dear Customer, Your webinar is scheduled for June 10, 2025. View details at company.com/events. Contact help@platform.com to reschedule. Best, Store Team",0
appointment Invitation,"Hi, Welcome to Store! Get started at company.com/events. Reach out to support@store.com with questions. Thanks, Community Team",0
Your Account Has Been locked,"Dear User, Your account information needs updating due to security breach. Visit [scam-site.net] to avoid service interruption. Regards, Rewards Team",1
Password Changed Successfully,"Hello, We’ve released improved security for your account. Learn more at platform.com/setup. Let us know your feedback at events@company.com. Thanks, Store Team",0
Congratulations! You've Won exclusive offer,"Hello, Your invoice #7628 is overdue. Pay now at [scam-site.net] to avoid additional fees. Contact help@fakecompany.com for help. Thanks, Billing Department",1
Password Changed Successfully,"Hello, We’ve released new features for your account. Learn more at store.com/tracking. Let us know your feedback at help@platform.com. Thanks, Store Team",0
Security Alert: suspicious activity Detected,"Hello, Your subscription account requires account unlock. Click [fake-portal.com] to secure. Contact support@fakebank.com if you need assistance. Thank you, Billing Department",1
Congratulations! You've Won exclusive offer,"Dear User, We detected security breach on your account. Please verify at [malicious-link.org] to secure your account. Failure to act within 3 days may result in service interruption. Regards, Account Services",1
Your appointment Confirmation,"Dear John, Thank you for your order #657850. Your package will arrive by June 5, 2025. Track your order at platform.com/setup. Contact events@company.com for assistance. Best, Customer Care",0
Action Required: account unlock,"Dear User, Your payment details needs updating due to unauthorized access. Visit [fake-portal.com] to avoid service interruption. Regards, Account Services",1
Your Account Has Been locked,"Dear Client, We detected security breach on your account. Please secure at [fake-portal.com] to secure your account. Failure to act within 24 hours may result in service interruption. Regards, Security Team",1
Claim Your free trial Today,"Dear Customer, We detected security breach on your account. Please renew at [suspicious-link.com] to secure your account. Failure to act within 3 days may result in account deletion. Regards, Billing Department",1
Password Changed Successfully,"Hello, We’ve released improved security for your account. Learn more at store.com/tracking. Let us know your feedback at help@platform.com. Thanks, Store Team",0
Your webinar Confirmation,"Hello, We’ve released improved security for your account. Learn more at platform.com/setup. Let us know your feedback at events@company.com. Thanks, Onboarding Team",0
Action Required: immediate verification,"Hello, Your email account requires payment update. Click [suspicious-link.com] to unlock. Contact help@fakecompany.com if you need assistance. Thank you, Billing Department",1
annual event Invitation,"Hello, Our July newsletter is here! Join us for webinar. Visit company.com/events for details. Unsubscribe at company.com/unsubscribe. Regards, Customer Care",0
Order Confirmation #337402,"Dear Customer, Your annual event is scheduled for June 5, 2025. View details at platform.com/setup. Contact events@company.com to reschedule. Best, Store Team",0
Invoice # 9915 Overdue,"Dear User, Your payment details needs updating due to unusual sign-in. Visit [suspicious-link.com] to avoid account deletion. Regards, Billing Department",1
Password Changed Successfully,"Hello, We’ve released new features for your account. Learn more at platform.com/setup. Let us know your feedback at support@store.com. Thanks, Customer Care",0
Shipping Update for Order #658602,"Hello, Our August newsletter is here! Join us for appointment. Visit platform.com/setup for details. Unsubscribe at company.com/unsubscribe. Regards, Customer Care",0
Product Update: new features,"Hello, We’ve released improved security for your account. Learn more at platform.com/setup. Let us know your feedback at events@company.com. Thanks, Community Team",0
Product Update: updated dashboard,"Dear Customer, Your webinar is scheduled for June 7, 2025. View details at company.com/events. Contact support@store.com to reschedule. Best, Onboarding Team",0
Order Confirmation #657850,"Dear Customer, Your appointment is scheduled for June 10, 2025. View details at platform.com/setup. Contact support@store.com to reschedule. Best, Onboarding Team",0
Congratulations! You've Won $1000 gift card,"Hello, Your account account requires account unlock. Click [scam-site.net] to renew. Contact help@fakecompany.com if you need assistance. Thank you, Rewards Team",1
